date,temp,feelslike,mintemp,maxtemp,humidity,windspeed,winddeg,weatherid,weathermain,weatherdescription
1/1/2023,19.64,18.94,18.98,20.02,49,1.54,0,800,Clear,sky is clear
1/2/2023,18.05,17.27,17.18,20.02,52,3.1,20,800,Clear,sky is clear
1/3/2023,18.75,18.22,18.29,19.02,59,4.12,360,802,Clouds,scattered clouds
1/4/2023,20.54,20.11,20.13,21.02,56,2.1,60,803,Clouds,broken clouds
1/5/2023,19.67,19.57,19.15,20.02,72,2.6,40,803,Clouds,broken clouds
1/6/2023,23.04,22.52,22.85,24.02,43,6.2,10,800,Clear,sky is clear
1/7/2023,22.32,21.65,21.01,22.66,40,2.6,20,800,Clear,sky is clear
1/8/2023,22.93,22.64,21.01,23.4,52,2.1,280,800,Clear,sky is clear
1/9/2023,23.42,23.49,22.01,23.69,64,2.6,280,721,Haze,haze
1/10/2023,22.91,22.82,22.25,23.61,60,3.1,350,803,Clouds,broken clouds
1/11/2023,20.44,20.84,20.01,20.62,88,2.1,320,701,Mist,mist
1/11/2023,20.44,20.84,20.01,20.62,88,2.1,320,500,Rain,light rain
1/12/2023,23.21,23.62,22.01,23.42,78,2.1,160,701,Mist,mist
1/13/2023,24.9,25.25,24.13,25.56,69,1.54,0,802,Clouds,scattered clouds
1/14/2023,29.15,30.39,28.01,29.85,54,3.6,290,800,Clear,sky is clear
1/15/2023,20.24,19.99,19.66,22.02,64,6.2,50,803,Clouds,broken clouds
1/16/2023,14.14,12.76,13.58,14.62,44,5.14,10,804,Clouds,overcast clouds
1/17/2023,13.57,12.39,12.94,13.9,54,5.14,360,804,Clouds,overcast clouds
1/18/2023,15.05,13.76,14.54,16.02,44,4.12,360,800,Clear,sky is clear
1/19/2023,15.48,14.42,14.85,15.84,51,4.12,50,804,Clouds,overcast clouds
1/20/2023,16.67,15.65,16.27,17.29,48,2.6,340,804,Clouds,overcast clouds
1/21/2023,20.18,19.61,19.92,21.02,52,2.1,0,803,Clouds,broken clouds
1/22/2023,19.47,19.35,19.01,19.95,72,1.54,270,701,Mist,mist
1/23/2023,22.75,22.99,22.01,23.15,73,1.54,110,701,Mist,mist
1/24/2023,17.83,16.61,17.59,18.16,36,6.7,10,800,Clear,sky is clear
1/25/2023,17.47,16.13,17.01,17.86,33,2.6,0,801,Clouds,few clouds
1/26/2023,17.9,17.5,16.01,18.56,67,1.03,0,804,Clouds,overcast clouds
1/27/2023,15.46,14.29,14.71,16.02,47,5.14,10,800,Clear,sky is clear
1/28/2023,17.92,16.37,17.79,18.02,23,4.63,20,800,Clear,sky is clear
1/29/2023,19.22,17.77,18.5,19.57,22,2.1,0,800,Clear,sky is clear
1/30/2023,20.43,19.49,19.89,20.75,37,1.03,0,800,Clear,sky is clear
1/31/2023,21.25,20.71,20.01,21.99,49,2.6,120,801,Clouds,few clouds
2/1/2023,20.78,20.69,20.01,21.33,68,2.1,180,804,Clouds,overcast clouds
2/2/2023,21.69,21.95,21.53,22.02,78,1.54,300,701,Mist,mist
2/3/2023,21.23,21.86,20.94,21.47,94,3.1,130,500,Rain,light rain
