datetime,temp,dewpoint,maxtemp,mintemp,precipitation,humidity,windspeed,winddeg
1/1/2023,14.16,9.77,19.33,9.4,0.01,76.24,1.82,24.4
1/2/2023,14.27,11.14,18.47,9.99,0.73,82.32,2.55,44.3
1/3/2023,14.76,9.85,18.88,10.95,0.13,73.39,2.07,27.7
1/4/2023,15.89,12.86,20.89,12.52,0,83.76,1.77,118.7
1/5/2023,17.14,14.35,21.1,13.35,0,84.15,2.28,42.7
1/6/2023,15.17,10.43,22.23,9.08,0,75.17,4.1,14.3
1/7/2023,16.69,10.09,21.59,11.78,0,66.27,2.02,356.5
1/8/2023,17.33,13.87,22.46,13.81,0.01,81.84,1.77,110.4
1/9/2023,18.63,15.5,22.68,15.44,1.98,82.72,1.76,27.3
1/10/2023,17.58,16.19,20.08,15.28,10.43,91.74,1.83,16.4
1/11/2023,18.63,16.7,23.54,15.85,2.68,89.18,1.68,130.2
1/12/2023,20,18.26,26.11,15.35,0.52,89.5,2.47,167.7
1/13/2023,21.86,17.41,29.29,15.78,0.01,77.55,2.7,234.9
1/14/2023,21.73,15.64,28.76,12.71,0.05,69.78,2.89,2
1/15/2023,12.79,7.03,20.53,5.53,0.06,69.73,4.64,38.5
1/16/2023,10.05,5.15,15.62,5.16,0.03,73.54,3.02,53.6
1/17/2023,10.39,5.46,16.26,6.49,0.04,73.3,3.24,39.1
1/18/2023,11.64,6.15,16.95,7.08,0,70.76,2.3,63.2
1/19/2023,13.35,9.17,18.13,9.34,0.05,77.04,2.01,38.7
1/20/2023,13.2,8.97,18.36,8.13,0.02,76.82,1.45,22.7
1/21/2023,15,12.34,21.45,10.82,0.01,84.27,2.07,159.9
1/22/2023,18.14,16,24.08,13.43,0,87.37,1.7,128.9
1/23/2023,17.68,13.56,24.66,10.52,0.21,77.26,4.75,46.3
1/24/2023,10.61,4.55,18.16,3.29,0,69.73,4.53,33.5
1/25/2023,10.95,6.08,16.65,5.64,0,75.85,2.02,107.2
1/26/2023,15.59,12.66,21.39,9.83,0.72,83.91,3.34,82.1
1/27/2023,10.55,5.07,17.8,4.14,0.03,70.54,4.54,29.1
1/28/2023,11.27,3.2,17.61,4.56,0,60.64,2.89,30.5
1/29/2023,12.55,3.24,18.48,6.14,0,55.12,2.41,3.2
1/30/2023,12.85,6.34,19.94,8,0,67.33,1.92,134.4
1/31/2023,13.98,10.06,20.98,9.6,0,79.64,2.22,153
2/1/2023,18.23,16.21,24.33,12.04,0.03,87.88,2.05,141.5
2/2/2023,20.58,18.59,26.71,16.79,1.09,88.74,2.66,132.4
2/3/2023,20.14,18.53,24.74,16.82,2.89,90.89,3.23,116.8
2/4/2023,21.77,19.69,27,18.31,12.07,88.68,3.84,143.4
2/5/2023,21.58,19.87,26.49,17.97,10.95,90.39,3.82,136.5
2/6/2023,22.16,20.02,27.86,18.64,1.53,88.43,3.7,141
2/7/2023,22.45,20.39,27.8,19.21,5.19,88.78,4.49,137.3
2/8/2023,22.71,20.73,27.65,19.79,6.13,89.22,4.52,145.9
2/9/2023,22.5,20.54,27.62,19.01,1.89,89.37,3.6,138.4
2/10/2023,23.01,20.88,28.65,19.16,0.75,88.58,4.27,154.8
2/11/2023,23.6,20.38,31.54,16.55,0.24,84.3,3.8,181.7
2/12/2023,23.45,18.1,32.59,16.74,0.09,75.72,2.62,202.7
2/13/2023,21.63,16.7,30.18,12.35,0.26,74.81,3.78,41.7
2/14/2023,15.22,10.51,20.04,11.3,0.09,74.73,4.04,56.1
2/15/2023,14.59,10.26,18.58,11.57,0.01,76.46,2.55,63.8
2/16/2023,15.59,12.36,19.34,12.87,0.02,82.14,1.63,115.4
2/17/2023,17.84,15.2,22.87,14.62,0,85.45,2.01,139.4
2/18/2023,20.12,17.29,26.06,16.21,0.1,85.18,2.34,127.2
2/19/2023,17.58,14.44,22.01,12.93,0.44,82.98,3.41,19.2
2/20/2023,18.82,14.32,24.43,15.44,0.12,77.03,2.1,117.5
2/21/2023,19.02,15.87,24.63,14.95,0.13,83.19,3.27,132.1
2/22/2023,17.85,14.99,23.12,14.04,0.08,84.75,2.94,122.9
2/23/2023,19.42,16.8,24.92,15.91,0.27,86.03,2.75,129.4
2/24/2023,16.87,12.58,21.12,11.65,0.88,76.22,4.58,43
2/25/2023,15.59,8.54,22.1,8.66,0,65.75,3.68,43.8
2/26/2023,15.11,8.41,21.09,9.75,0,66.4,2.87,65.3
2/27/2023,15.87,11.79,22.1,11.4,0,79.14,2.17,129.1
2/28/2023,17.7,14.65,23.89,13.83,0,83.57,1.79,138.6
3/1/2023,19.26,16.03,25.15,15.3,0.04,83.08,2.11,92.9
3/2/2023,19.32,14.59,25.46,15.11,0,75.96,2.26,105.7
3/3/2023,19.54,16.39,25.68,14.04,0.25,83.49,2.6,95
3/4/2023,19.44,15,24.11,15.31,0.03,76.95,1.6,56.7
3/5/2023,19.59,15.94,25.49,15.44,0.01,81.25,2.05,152.6
3/6/2023,20.17,17,25.89,16.33,0.01,83.53,3.16,139.3
3/7/2023,20.44,17.54,26.02,16.53,0.01,84.58,3.68,145.4
3/8/2023,21.1,18.32,26.27,17.59,0.09,85.27,2.31,142.2
3/9/2023,21.82,18.29,27.48,17.63,0.07,81.99,1.93,147.6
3/10/2023,21.75,18.27,27.75,17.53,0,82.06,3.35,147.2
3/11/2023,22.12,19.24,27.04,18.65,0.04,84.8,2.94,143.8
3/12/2023,19.24,14.12,25.14,13.82,1.31,72.35,4.35,26
3/13/2023,17.43,10.33,20.97,14.72,0.2,64.34,2.35,9.2
3/14/2023,20.12,15.86,26.26,16.08,0.37,78.8,3.06,156.4
3/15/2023,21.77,19.16,27.75,18.22,2.73,86.35,3.57,144.6
3/16/2023,21.97,19.58,27.16,18.14,2.5,86.7,4.06,154.3
3/17/2023,22.42,20.1,27.49,18.89,1.45,87.57,3.47,150.3
3/18/2023,22.46,19.97,26.61,19.19,0.65,86.55,3.86,148.1
3/19/2023,22.73,20.53,27.55,19.8,0.02,88.18,4.12,153.8
3/20/2023,24.59,22.05,30.71,21.02,0.23,86.93,3.56,164.7
3/21/2023,27.11,22.69,33.59,22.18,0.77,78.71,2.51,209.1
3/22/2023,28.02,21.94,35.39,21.55,0.09,73.57,2.44,204.5
3/23/2023,28.66,22.46,36.57,22.68,0,73.01,2.23,213.7
3/24/2023,27.74,23.25,34.12,23.37,0.36,79.27,2.25,73.1
3/25/2023,24.76,21.68,31.61,18.28,1.89,83.73,4.31,100.5
3/26/2023,20.68,17.4,24.59,17.81,3.66,82.59,2.89,69.1
3/27/2023,19.58,16.96,23.57,16.51,1.18,85.53,2.96,56.4
3/28/2023,19.51,16.78,23.25,17.14,1.45,85.01,1.84,73.8
3/29/2023,21.23,18.69,25.81,18.26,5.84,86.25,1.88,90.6
3/30/2023,20.99,18.51,25.26,18.43,2.47,86.56,2.03,100
3/31/2023,23.08,20.49,28.33,20,0.92,86.32,2.42,130.2
4/1/2023,24.67,22.32,29.96,21.23,2.2,87.72,3.42,143.4
4/2/2023,26.33,23.46,32.95,21.42,1.84,85.64,3.67,150.2
4/3/2023,27.34,23.45,34.62,21.87,0.35,81.84,3.51,165.5
4/4/2023,27.89,22.29,35.6,22.13,0.02,75.34,1.79,178.3
4/5/2023,27.77,21.8,35.67,22.27,0,73.25,1.4,132.1
4/6/2023,24.48,20.47,30.59,18.23,0,79.75,3.65,48.6
4/7/2023,22.16,17.28,26.98,19.57,0.46,76,2.29,95.7
4/8/2023,19.63,16.07,23.1,17.14,0.52,80.96,2.54,45.5
4/9/2023,21.69,19.07,26.28,18.57,0.73,85.94,2.5,122.5
4/10/2023,24.93,22.29,30.35,21.47,1.26,86.39,3,149.8
4/11/2023,26.5,23.66,32.27,23.06,1.93,85.68,2.51,129.6
4/12/2023,25.58,23.53,29.57,23.35,3.51,88.91,4.17,137.2
4/13/2023,26.24,23.93,30.95,23.21,3.4,87.73,5.11,147.1
4/14/2023,26.61,24.26,31.87,23.08,5.02,87.72,2.98,120.9
4/15/2023,25.28,21.19,28.68,20.78,3.35,78.84,2.96,24.8
4/16/2023,25.43,21.64,30.8,21.4,0.01,81.04,2.47,148.5
4/17/2023,26.31,23.76,31.56,22.81,0.35,86.88,3.61,148.2
4/18/2023,28.48,24.38,35.76,23.3,0.18,80.69,1.69,143.5
4/19/2023,28.14,24.46,34.07,23.66,0,82.2,2.2,78.8
4/20/2023,28.11,24.68,33.89,24.28,0,83.04,2.19,115.2
4/21/2023,28.33,25.14,33.55,24.88,0,83.94,2.31,136.4
4/22/2023,28.77,25.3,34.91,24.62,0.36,83.39,2.72,132.3
4/23/2023,28.34,25.03,33.53,24.97,0.36,83.67,2.83,136.8
4/24/2023,26.54,23.99,31.31,22.25,4.13,86.65,3.84,110.9
4/25/2023,21.55,17.86,25.18,18.25,1.48,80.41,3.52,41.1
4/26/2023,21.71,17.15,25.69,18.79,0.21,76.77,1.95,162.5
4/27/2023,25.16,21.61,30.66,21.35,0.3,82.25,4.05,155.8
4/28/2023,26.56,23.83,31.28,23.36,5.08,85.96,4.28,150.3
4/29/2023,21.46,18.45,25.79,18.07,20.66,83.71,4.09,28.8
4/30/2023,22.59,17.95,27.79,19.18,0.61,76.53,1.97,117.6
5/1/2023,24.69,19.91,30.49,20.22,0.08,77.15,2.73,147
5/2/2023,26.53,23.09,31.7,23.47,0,82.73,4.95,161.2
5/3/2023,27.83,24.33,33.43,24.4,0.01,82.7,5.2,160
5/4/2023,30.06,25.05,37.33,24.55,0.03,77.39,3.21,175.1
5/5/2023,31.32,24.49,38.58,25.51,0,70.66,2.97,218
5/6/2023,32.14,24.89,39.74,26.34,0.16,70.6,2.82,200.5
5/7/2023,28.43,24.87,34.11,20.95,29.32,81.79,3.63,45.2
5/8/2023,23.35,20.57,26.08,21.72,19.94,84.94,3.04,45.6
5/9/2023,24.78,23.26,27.86,22.19,0.67,91.51,2.11,118.4
5/10/2023,26.94,24.79,30.68,24.43,6.8,88.65,2.6,140.7
5/11/2023,25.67,22.73,31.16,20.76,8.46,84.35,3.55,62.4
5/12/2023,24.67,20.9,28.36,21.16,3.16,80.5,3.13,23.4
5/13/2023,21.92,19.87,23.88,20.31,4.11,88.31,3.24,1.7
5/14/2023,24.62,20.76,28.8,21.98,1.91,80.08,1.51,38.4
5/15/2023,26.37,23.08,31.26,22.71,0.07,83.35,3.27,152.1
5/16/2023,30.02,24.13,36.15,25.08,0.02,72.65,2.98,221.8
5/17/2023,31.24,23.58,37.53,25.25,0,66.05,2.81,258.7
5/18/2023,30.93,24.17,37.19,25.66,0,70.67,2.05,149.2
5/19/2023,30.47,26.02,36.29,25.99,0.02,79.5,2.16,111.7
